data_extracao,arquivo,numero_registros,tamanho_mib,nome_base,camada,dominio,formato,porte_arquivo,registros_por_mib,ano_extracao,mes_extracao
2025-12-19 03:00:05,raw_cnes_estabelecimentos.parquet,596509,67.16,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8881.91,2025,12
2025-12-18 03:00:05,raw_cnes_estabelecimentos.parquet,596402,67.14,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8882.96,2025,12
2025-12-12 03:00:04,raw_cnes_estabelecimentos.parquet,595908,67.08,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8883.54,2025,12
2025-12-10 03:00:04,raw_cnes_estabelecimentos.parquet,595731,67.07,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8882.23,2025,12
2025-12-06 16:57:09,raw_cnes_estabelecimentos.parquet,595095,67.04,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8876.72,2025,12
2026-02-13 03:00:07,raw_siops_exec_rreo.parquet,36220,0.96,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37729.17,2026,2
2026-02-12 03:00:07,raw_siops_exec_rreo.parquet,36106,0.96,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37610.42,2026,2
2026-02-11 03:00:06,raw_siops_exec_rreo.parquet,35878,0.95,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37766.32,2026,2
2026-02-10 03:00:07,raw_siops_exec_rreo.parquet,35650,0.95,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37526.32,2026,2
2026-02-08 03:00:07,raw_siops_exec_rreo.parquet,35422,0.94,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37682.98,2026,2
2026-02-07 03:00:06,raw_siops_exec_rreo.parquet,35308,0.94,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37561.7,2026,2
2026-02-06 03:00:07,raw_siops_exec_rreo.parquet,34966,0.93,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37597.85,2026,2
2026-02-03 03:00:07,raw_siops_exec_rreo.parquet,34738,0.92,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37758.7,2026,2
2026-01-31 03:00:07,raw_siops_exec_rreo.parquet,34396,0.92,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37386.96,2026,1
2026-01-30 03:00:07,raw_siops_exec_rreo.parquet,33826,0.9,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37584.44,2026,1
2025-12-06 16:57:09,raw_siops_exec_rreo.parquet,33703,0.96,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,35107.29,2025,12
2025-12-29 03:27:41,raw_siops_exec_rreo.parquet,33703,0.9,raw_siops_exec_rreo,raw,siops_exec_rreo,.parquet,muito_pequeno,37447.78,2025,12
2026-02-13 03:00:07,raw_siops_indicadores.parquet,10481,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,65506.25,2026,2
2026-02-12 03:00:07,raw_siops_indicadores.parquet,10467,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,65418.75,2026,2
2026-02-11 03:00:06,raw_siops_indicadores.parquet,10439,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,65243.75,2026,2
2026-02-10 03:00:07,raw_siops_indicadores.parquet,10411,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,65068.75,2026,2
2026-02-08 03:00:07,raw_siops_indicadores.parquet,10383,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,64893.75,2026,2
2026-02-07 03:00:06,raw_siops_indicadores.parquet,10369,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,64806.25,2026,2
2026-02-06 03:00:07,raw_siops_indicadores.parquet,10327,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,64543.75,2026,2
2026-02-03 03:00:07,raw_siops_indicadores.parquet,10299,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,64368.75,2026,2
2026-01-31 03:00:07,raw_siops_indicadores.parquet,10257,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,64106.25,2026,1
2026-01-30 03:00:07,raw_siops_indicadores.parquet,10187,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,63668.75,2026,1
2025-12-06 16:57:09,raw_siops_indicadores.parquet,10173,0.18,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,56516.67,2025,12
2025-12-29 03:27:41,raw_siops_indicadores.parquet,10173,0.16,raw_siops_indicadores,raw,siops_indicadores,.parquet,muito_pequeno,63581.25,2025,12
2025-12-06 16:57:09,raw_macroregiao_de_saude.parquet,5570,0.28,raw_macroregiao_de_saude,raw,macroregiao_de_saude,.parquet,muito_pequeno,19892.86,2025,12
2026-02-13 03:00:07,raw_siops_exec_saude.parquet,4695,0.11,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,42681.82,2026,2
2026-02-12 03:00:07,raw_siops_exec_saude.parquet,4680,0.11,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,42545.45,2026,2
2026-02-11 03:00:06,raw_siops_exec_saude.parquet,4650,0.11,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,42272.73,2026,2
2026-02-10 03:00:07,raw_siops_exec_saude.parquet,4620,0.1,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,46200.0,2026,2
2026-02-08 03:00:07,raw_siops_exec_saude.parquet,4590,0.1,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,45900.0,2026,2
2026-02-07 03:00:06,raw_siops_exec_saude.parquet,4575,0.1,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,45750.0,2026,2
2026-02-06 03:00:07,raw_siops_exec_saude.parquet,4530,0.1,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,45300.0,2026,2
2026-02-03 03:00:07,raw_siops_exec_saude.parquet,4500,0.1,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,45000.0,2026,2
2026-01-31 03:00:07,raw_siops_exec_saude.parquet,4455,0.1,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,44550.0,2026,1
2026-01-30 03:00:07,raw_siops_exec_saude.parquet,4380,0.1,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,43800.0,2026,1
2025-12-29 03:27:41,raw_siops_exec_saude.parquet,4365,0.1,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,43650.0,2025,12
2025-12-06 16:57:09,raw_siops_exec_saude.parquet,4365,0.11,raw_siops_exec_saude,raw,siops_exec_saude,.parquet,muito_pequeno,39681.82,2025,12
